,name,type,value,date
0,阿鲁巴,,0.0,1960
1,阿富汗,,537777811.1,1960
2,安哥拉,,0.0,1960
3,阿尔巴尼亚,,0.0,1960
4,安道尔共和国,,0.0,1960
5,阿拉伯联合酋长国,,0.0,1960
6,阿根廷,,0.0,1960
7,亚美尼亚,,0.0,1960
8,美属萨摩亚,,0.0,1960
9,安提瓜和巴布达,,0.0,1960
10,澳大利亚,,18573188487.0,1960
11,奥地利,,6592693841.0,1960
12,阿塞拜疆,,0.0,1960
13,布隆迪,,195999990.0,1960
14,比利时,,11658722591.0,1960
15,贝宁,,226195579.4,1960
16,布基纳法索,,330442817.2,1960
17,孟加拉国,,4274893913.0,1960
18,保加利亚,,0.0,1960
19,巴林,,0.0,1960
20,巴哈马,,169803921.6,1960
21,波斯尼亚和黑塞哥维那,,0.0,1960
22,白俄罗斯,,0.0,1960
23,伯利兹,,28071888.56,1960
24,百慕大,,84466654.08,1960
25,玻利维亚,,373879363.6,1960
26,巴西,,15165569913.0,1960
27,巴巴多斯,,0.0,1960
28,文莱达鲁萨兰国,,0.0,1960
29,不丹,,0.0,1960
30,博茨瓦纳,,30412308.99,1960
31,中非共和国,,112155598.9,1960
32,加拿大,,41093453545.0,1960
33,瑞士,,9522746719.0,1960
34,海峡群岛,,0.0,1960
35,智利,,4110000000.0,1960
36,中国,,59716467625.0,1960
37,科特迪瓦,,546203561.6,1960
38,喀麦隆,,618740988.0,1960
39,刚果（金）,,3359404118.0,1960
40,刚果（布）,,131731862.6,1960
41,哥伦比亚,,4031152977.0,1960
42,科摩罗,,0.0,1960
43,佛得角,,0.0,1960
44,哥斯达黎加,,507513830.0,1960
45,加勒比小国,,1875397947.0,1960
46,古巴,,0.0,1960
47,库拉索,,0.0,1960
48,开曼群岛,,0.0,1960
49,塞浦路斯,,0.0,1960
50,捷克共和国,,0.0,1960
51,德国,,0.0,1960
52,吉布提,,0.0,1960
53,多米尼克,,0.0,1960
54,丹麦,,6248946880.0,1960
55,多米尼加共和国,,672399700.0,1960
56,阿尔及利亚,,2723648552.0,1960
57,厄瓜多尔,,2069465326.0,1960
58,阿拉伯埃及共和国,,0.0,1960
59,厄立特里亚,,0.0,1960
60,西班牙,,12072126075.0,1960
61,爱沙尼亚,,0.0,1960
62,埃塞俄比亚,,0.0,1960
63,芬兰,,5224102196.0,1960
64,斐济,,112328422.1,1960
65,法国,,62651474947.0,1960
66,法罗群岛,,0.0,1960
67,密克罗尼西亚联邦,,0.0,1960
68,加蓬,,141468977.6,1960
69,英国,,72328047042.0,1960
70,格鲁吉亚,,0.0,1960
71,加纳,,1217230038.0,1960
72,直布罗陀,,0.0,1960
73,几内亚,,0.0,1960
74,冈比亚,,0.0,1960
75,几内亚比绍共和国,,0.0,1960
76,赤道几内亚,,0.0,1960
77,希腊,,4446528165.0,1960
78,格林纳达,,0.0,1960
79,格陵兰,,0.0,1960
80,危地马拉,,1043599900.0,1960
81,关岛,,0.0,1960
82,圭亚那,,170215248.2,1960
83,中国香港特别行政区,,1320796652.0,1960
84,洪都拉斯,,335650000.0,1960
85,克罗地亚,,0.0,1960
86,海地,,273187200.0,1960
87,匈牙利,,0.0,1960
88,印度尼西亚,,0.0,1960
89,马恩岛,,0.0,1960
90,印度,,36535925031.0,1960
91,爱尔兰,,1939329775.0,1960
92,伊朗伊斯兰共和国,,4199134390.0,1960
93,伊拉克,,1684121535.0,1960
94,冰岛,,248434097.0,1960
95,以色列,,2598500000.0,1960
96,意大利,,40385288344.0,1960
97,牙买加,,699050679.0,1960
98,约旦,,0.0,1960
99,日本,,44307342950.0,1960
100,哈萨克斯坦,,0.0,1960
101,肯尼亚,,791265458.8,1960
